function,frame,time_ms
imagePyramid,0,1.398511
preCompute,0,1.398342
imagePyramid,0,0.560960
preCompute,0,1.359882
imagePyramid,0,0.491860
preCompute,0,1.331181
imagePyramid,0,0.568051
preCompute,0,1.358611
imagePyramid,0,0.474180
preCompute,0,1.335931
imagePyramid,0,0.416740
preCompute,0,1.329002
imagePyramid,0,0.428370
preCompute,0,1.339902
imagePyramid,0,0.395851
preCompute,0,1.277321
imagePyramid,0,0.501610
preCompute,0,1.315612
imagePyramid,49,0.699991
track,49,2.372682,0.001218,1
imagePyramid,50,0.378910
track,50,1.929612,0.001225,1
imagePyramid,51,0.337690
track,51,1.906092,0.000894,1
imagePyramid,52,0.393950
track,52,1.961662,0.002789,1
imagePyramid,53,0.368130
track,53,1.827712,0.001230,1
imagePyramid,54,0.327990
track,54,1.776012,0.002032,1
imagePyramid,55,0.463341
track,55,1.949451,0.001783,1
imagePyramid,56,0.391060
track,56,1.851991,0.001859,1
imagePyramid,57,0.348921
track,57,1.802842,0.001929,1
imagePyramid,58,0.326960
track,58,1.885252,0.002120,1
imagePyramid,58,0.466911
preCompute,58,1.340391
imagePyramid,58,0.364010
preCompute,58,1.319491
imagePyramid,60,0.313961
track,60,1.705271,0.000000,1
imagePyramid,61,0.370430
track,61,1.976821,0.000783,1
imagePyramid,62,0.359751
track,62,1.816281,0.001555,1
imagePyramid,63,0.455400
track,63,1.967102,0.001758,1
imagePyramid,64,0.347601
track,64,1.952691,0.001615,1
imagePyramid,65,0.370810
track,65,1.864502,0.001691,1
imagePyramid,66,0.362680
track,66,1.881192,0.001845,1
imagePyramid,67,0.367871
track,67,1.875541,0.001681,1
imagePyramid,68,0.378171
track,68,1.867241,0.001737,1
imagePyramid,69,0.610450
track,69,1.907372,0.001771,1
imagePyramid,69,0.411760
preCompute,69,1.287302
imagePyramid,69,0.417001
preCompute,69,1.320181
imagePyramid,71,0.318190
track,71,1.779792,0.000000,1
imagePyramid,72,0.453751
track,72,1.888151,0.001341,1
imagePyramid,73,0.370370
track,73,1.895742,0.001682,1
imagePyramid,74,0.383700
track,74,1.838302,0.001897,1
imagePyramid,75,0.546581
track,75,2.044482,0.002063,1
imagePyramid,76,0.411741
track,76,1.895441,0.002184,1
imagePyramid,77,0.379461
track,77,2.011302,0.002094,1
imagePyramid,78,0.418880
track,78,1.977882,0.002359,1
imagePyramid,79,0.378220
track,79,1.886352,0.002138,1
imagePyramid,80,0.504271
track,80,2.128222,0.002098,1
imagePyramid,80,0.413570
preCompute,80,1.299692
imagePyramid,80,0.355840
preCompute,80,1.284761
imagePyramid,82,0.291930
track,82,1.624661,0.000000,1
imagePyramid,83,0.360881
track,83,1.803401,0.000941,1
imagePyramid,84,0.471081
track,84,1.980812,0.001138,1
imagePyramid,85,0.418440
track,85,1.872072,0.001613,1
imagePyramid,86,0.408270
track,86,1.823271,0.001772,1
imagePyramid,87,0.395130
track,87,1.867472,0.001498,1
imagePyramid,88,0.543960
track,88,2.028712,0.001315,1
imagePyramid,89,0.338460
track,89,1.871372,0.001729,1
imagePyramid,90,0.365550
track,90,1.783212,0.001568,1
imagePyramid,91,0.337950
track,91,1.814512,0.001811,1
imagePyramid,91,0.337601
preCompute,91,1.297881
imagePyramid,91,0.368270
preCompute,91,1.318431
imagePyramid,93,0.338561
track,93,1.580361,0.000000,1
imagePyramid,94,0.374331
track,94,1.738341,0.001801,1
imagePyramid,95,0.471420
track,95,2.049022,0.002266,1
imagePyramid,96,0.373131
track,96,1.804371,0.001007,1
imagePyramid,97,0.471540
track,97,2.012831,0.001740,1
imagePyramid,98,0.364060
track,98,1.834192,0.001711,1
imagePyramid,99,0.353661
track,99,1.817591,0.001756,1
imagePyramid,100,0.340870
track,100,1.796441,0.001481,1
imagePyramid,101,0.365670
track,101,1.829452,0.001546,1
imagePyramid,102,0.397680
track,102,1.877891,0.001755,1
imagePyramid,102,0.352130
preCompute,102,1.330371
imagePyramid,102,0.343331
preCompute,102,1.309701
imagePyramid,104,0.297280
track,104,1.701252,0.000000,1
imagePyramid,105,0.475370
track,105,1.974892,0.000621,1
imagePyramid,106,0.446710
track,106,1.897742,0.000745,1
imagePyramid,107,0.404141
track,107,1.876791,0.001483,1
imagePyramid,108,0.370120
track,108,1.910112,0.001226,1
imagePyramid,109,0.437630
track,109,1.846622,0.001825,1
imagePyramid,110,0.423901
track,110,1.957151,0.001584,1
imagePyramid,111,0.361050
track,111,1.866512,0.001612,1
imagePyramid,112,0.429540
track,112,1.854842,0.001638,1
imagePyramid,113,0.413750
track,113,1.872382,0.001677,1
imagePyramid,113,0.406340
preCompute,113,1.364601
imagePyramid,113,0.418710
preCompute,113,1.218151
imagePyramid,115,0.289860
track,115,1.581841,0.000000,1
imagePyramid,116,0.370341
track,116,1.795922,0.001713,1
imagePyramid,117,0.364050
track,117,1.919992,0.001160,1
imagePyramid,118,0.375270
track,118,1.829622,0.001549,1
imagePyramid,119,0.377590
track,119,1.837912,0.002563,1
imagePyramid,120,0.383000
track,120,1.856952,0.001775,1
imagePyramid,121,0.374470
track,121,1.856032,0.002451,1
imagePyramid,122,0.393311
track,122,1.860922,0.002065,1
imagePyramid,123,0.332540
track,123,1.816042,0.001788,1
imagePyramid,124,0.412160
track,124,1.825592,0.002231,1
imagePyramid,124,0.542541
preCompute,124,1.308041
imagePyramid,124,0.367740
preCompute,124,1.300351
imagePyramid,126,0.306710
track,126,1.597251,0.000000,1
imagePyramid,127,0.425780
track,127,2.269402,0.000605,1
imagePyramid,128,0.871030
track,128,3.863693,0.001940,1
imagePyramid,129,0.833730
track,129,6.370286,0.002060,1
imagePyramid,130,0.447710
track,130,2.853223,0.002244,1
imagePyramid,131,0.535230
track,131,3.966934,0.002198,1
imagePyramid,132,0.391460
track,132,2.451632,0.002214,1
imagePyramid,133,0.485871
track,133,2.285772,0.002159,1
imagePyramid,134,0.442610
track,134,1.955762,0.002302,1
imagePyramid,135,0.365430
track,135,1.896432,0.002382,1
imagePyramid,135,0.384700
preCompute,135,1.336141
imagePyramid,135,0.494830
preCompute,135,1.342752
imagePyramid,137,0.385650
track,137,1.784362,0.000000,1
imagePyramid,138,0.402500
track,138,2.018872,0.001080,1
imagePyramid,139,0.356301
track,139,1.821331,0.002231,1
imagePyramid,140,0.374660
track,140,1.859652,0.001540,1
imagePyramid,141,0.411130
track,141,1.991962,0.001292,1
imagePyramid,142,0.395550
track,142,1.903032,0.002252,1
imagePyramid,143,0.392510
track,143,1.848091,0.002173,1
imagePyramid,144,0.352310
track,144,1.869782,0.002067,1
imagePyramid,145,0.369081
track,145,1.981561,0.002319,1
imagePyramid,146,0.375700
track,146,1.992392,0.002574,1
imagePyramid,146,0.371610
preCompute,146,1.373661
imagePyramid,146,0.384750
preCompute,146,1.530392
imagePyramid,148,0.327290
track,148,1.866392,0.000000,1
imagePyramid,149,0.371540
track,149,2.084672,0.000879,1
imagePyramid,150,0.404360
track,150,1.824752,0.000893,1
imagePyramid,151,0.425101
track,151,1.946612,0.001012,1
imagePyramid,152,0.401721
track,152,1.927891,0.001258,1
imagePyramid,153,0.390590
track,153,2.000272,0.001606,1
imagePyramid,154,0.489141
track,154,2.090442,0.001213,1
imagePyramid,155,0.411191
track,155,1.938371,0.001485,1
imagePyramid,156,0.408070
track,156,1.969692,0.001883,1
imagePyramid,157,0.448441
track,157,2.121192,0.001977,1
imagePyramid,157,0.364201
preCompute,157,1.341821
imagePyramid,157,0.371650
preCompute,157,1.308312
imagePyramid,159,0.305820
track,159,1.629481,0.000000,1
imagePyramid,160,0.501431
track,160,2.090232,0.001397,1
imagePyramid,161,0.370341
track,161,1.981282,0.001438,1
imagePyramid,162,0.458080
track,162,2.059362,0.001374,1
imagePyramid,163,0.349480
track,163,1.826932,0.001290,1
imagePyramid,164,0.382071
track,164,1.894941,0.001432,1
imagePyramid,165,0.467450
track,165,2.071182,0.002033,1
imagePyramid,166,0.450841
track,166,2.030652,0.001912,1
imagePyramid,167,0.443791
track,167,1.992771,0.002378,1
imagePyramid,168,0.404341
track,168,2.038681,0.002361,1
imagePyramid,168,0.348090
preCompute,168,1.282321
imagePyramid,168,0.378180
preCompute,168,1.271121
imagePyramid,170,0.309051
track,170,1.649131,0.000000,1
imagePyramid,171,0.445371
track,171,2.039532,0.001025,1
imagePyramid,172,0.348540
track,172,1.890072,0.001093,1
imagePyramid,173,0.466131
track,173,2.129252,0.002829,1
imagePyramid,174,0.438320
track,174,2.002252,0.001829,1
imagePyramid,175,0.408371
track,175,1.919872,0.002775,1
imagePyramid,176,0.341580
track,176,1.995052,0.003057,1
imagePyramid,177,0.394370
track,177,2.050462,0.002996,1
imagePyramid,178,0.496090
track,178,2.080991,0.002891,1
imagePyramid,179,0.386570
track,179,1.960422,0.002969,1
imagePyramid,179,0.324400
preCompute,179,1.330481
imagePyramid,179,0.428870
preCompute,179,1.358941
imagePyramid,181,0.346360
track,181,1.706702,0.000000,1
imagePyramid,182,0.490080
track,182,2.040932,0.001139,1
imagePyramid,183,0.379231
track,183,1.935351,0.001976,1
imagePyramid,184,0.362920
track,184,1.873382,0.002372,1
imagePyramid,185,0.351770
track,185,1.847242,0.001914,1
imagePyramid,186,0.341150
track,186,1.886732,0.001853,1
imagePyramid,187,0.385361
track,187,1.987701,0.001795,1
imagePyramid,188,0.362340
track,188,2.053572,0.002309,1
imagePyramid,189,0.362251
track,189,1.991231,0.002698,1
imagePyramid,190,0.390770
track,190,2.015012,0.002116,1
imagePyramid,190,0.460570
preCompute,190,1.305661
imagePyramid,190,0.397021
preCompute,190,1.307541
imagePyramid,192,0.339690
track,192,1.695752,0.000000,1
imagePyramid,193,0.435971
track,193,2.205982,0.001156,1
imagePyramid,194,0.424290
track,194,2.179402,0.001756,1
imagePyramid,195,0.369810
track,195,2.114272,0.001578,1
imagePyramid,196,0.372010
track,196,2.084782,0.001521,1
imagePyramid,197,0.370321
track,197,1.938861,0.001577,1
imagePyramid,198,0.438770
track,198,1.982792,0.001511,1
imagePyramid,199,0.371030
track,199,2.245652,0.002294,1
imagePyramid,200,0.524461
track,200,2.255202,0.001998,1
imagePyramid,201,0.428831
track,201,2.087612,0.002274,1
imagePyramid,201,0.369920
preCompute,201,1.325751
imagePyramid,203,0.297891
track,203,1.598981,0.000000,1
imagePyramid,204,0.354990
track,204,1.919992,0.001559,1
imagePyramid,205,0.370770
track,205,1.942252,0.002115,1
imagePyramid,206,0.368620
track,206,1.929432,0.001565,1
imagePyramid,207,0.388411
track,207,1.915541,0.001160,1
imagePyramid,208,0.556381
track,208,2.097192,0.001488,1
imagePyramid,209,0.413781
track,209,2.117932,0.001628,1
imagePyramid,210,0.392990
track,210,1.968082,0.001812,1
imagePyramid,211,0.373570
track,211,1.957702,0.001747,1
imagePyramid,212,0.363100
track,212,1.903842,0.001875,1
imagePyramid,212,0.341781
preCompute,212,1.341031
imagePyramid,212,0.374640
